word,type,phon_br,phon_n_am,definition,example,vietnamese,synonyms,antonyms
abscond,verb,/əbˈskɒnd/,/əbˈskɑːnd/,to sneak away and hide,"In the confusion, the super-spy absconded into the night with the secret plans.","bỏ trốn, tẩu thoát, chuồn","flee, decamp, bolt","stay, remain, appear"
absolution,noun,/ˌæbsəˈluːʃən/,/ˌæbsəˈluːʃən/,"freedom from blame, guilt, sin","Once all the facts were known, the jury gave Angela absolution by giving a verdict of not guilty.","Tha bổng, Miễn tội, Xá tội","forgiveness, exoneration, remission","condemnation, culpability, blame"
abstain,verb,/əbˈsteɪn/,/əbˈsteɪn/,to freely choose not to commit an action,"Everyone demanded that Angus put on the kilt, but he did not want to do it and abstained.","Từ chối, không tham gia, kiềm chế","refrain, forbear, desist","indulge, partake, pursue"
abstruse,adjective,/əbˈstruːs/,/əbˈstruːs/,hard to comprehend,"Everyone else in the class understood geometry easily, but John found the subject abstruse.","khó hiểu, thâm thúy, khó nắm bắt","recondite, esoteric, arcane","clear, lucid, obvious"
accede,verb,/əkˈsiːd/,/əkˈsiːd/,to agree,"When the class asked the teacher whether they could play baseball instead of learn grammar they expected him to refuse, but instead he acceded to their request.","Chấp thuận, Đồng ý, Bằng lòng","concur, assent, acquiesce","dissent, reject, demur"
accentuate,verb,/əkˈsentʃueɪt/,/əkˈsentʃueɪt/,"to stress, highlight",Psychologists agree that those people who are happiest accentuate the positive in life.,"nhấn mạnh, làm nổi bật, đề cao","emphasize, highlight, underscore","diminish, obscure, downplay"
accessible,adjective,/əkˈsesəbl̩/,/əkˈsesəbl̩/,"obtainable, reachable","After studying with SparkNotes and getting a great score on the SAT, Marlena happily realized that her goal of getting into an Ivy-League college was accessible.","Đạt được, Trong tầm tay, Khả thi","approachable, attainable, available","restricted, remote, impenetrable"
acclaim,noun,/əˈkleɪm/,/əˈkleɪm/,"high praise accolade high praise, special distinction",Greg's excellent poem won the acclaim of his friends.,"Sự ca ngợi, sự tán dương, lời khen ngợi","laud, extol, commend","censure, disparage, denounce"
accolade,noun,/ˈækəleɪd/,/ˈækəleɪd/,"high praise, special distinction",Everyone offered accolades to Sam after he won the Noble Prize.,"Lời ca ngợi, Sự tán dương, Vinh dự","honor, tribute, commendation","rebuke, opprobrium, ignominy"
accommodating,adjective,/əˈkɒmədeɪtɪŋ/,/əˈkɑmədeɪtɪŋ/,"helpful, obliging, polite","Though the apartment was not big enough for three people, Arnold, Mark, and Zebulon were all friends and were accommodating to each other.","Hòa nhã, dễ tính, biết điều","obliging, cooperative, amenable","unyielding, recalcitrant, obstinate"
accord,noun,/əˈkɔːd/,/əˈkɔrd/,an agreement,"After much negotiating, England and Iceland finally came to a mutually beneficial accord about fishing rights off the cost of Greenland.","Hiệp ước, Thỏa thuận, Hiệp định","concur, harmonize, assent","clash, conflict, dissent"
accost,verb,/əˈkɒst/,/əˈkɑːst/,to confront verbally,"Though Antoinette was normally quite calm, when the waiter spilled soup on her for the fourth time in 15 minutes she stood up and accosted the man.","Chất vấn, quở trách, la mắng","confront, waylay, buttonhole","avoid, evade, shun"
accretion,noun,/əˈkriːʃən/,/əˈkriːʃən/,slow growth in size or amount,Stalactites are formed by the accretion of minerals from the roofs of caves.,"tích tụ, bồi đắp, lắng đọng","accumulation, buildup, augmentation","erosion, dissipation, depletion"
acerbic,adjective,/əˈsɜːbɪk/,/əˈsɜːrbɪk/,"biting, bitter in tone or taste",Jill became extremely acerbic and began to cruelly make fun of all her friends.,"Chua chát, Cay nghiệt, Gay gắt","caustic, trenchant, vitriolic","genial, benevolent, saccharine"
acquiesce,verb,/ˌækwiˈɛs/,/ˌækwiˈɛs/,to agree without protesting,"Though Mr. Correlli wanted to stay outside and work in his garage, when his wife told him that he had better come in to dinner, he acquiesced to her demands.","Chiều theo, tuân theo, nghe theo","accede, assent, concede","resist, dissent, repudiate"
acrimony,noun,/ˈækrɪməni/,/ˈækrɪmoʊni/,"bitterness, discord","Though they vowed that no girl would ever come between them, Biff and Trevor could not keep acrimony from overwhelming their friendship after they both fell in love with the lovely Teresa.","Bất hòa, xích mích, gay gắt","animosity, rancor, virulence","cordiality, amiability, goodwill"
acumen,noun,əˈkjuːmən,əˈkjuːmən,keen insight,"Because of his mathematical acumen, Larry was able to figure out in minutes problems that took other students hours.","sự nhạy bén, sự sắc sảo, sự tinh tường","perspicacity, sagacity, astuteness","obtuseness, ineptitude, inanity"
acute,adjective,əˈkjuːt,əˈkjuːt,"1. sharp, severe 2. having keen insight",Arnold could not walk because the pain in his foot was so acute.,"Cấp tính, dữ dội, sắc sảo","incisive, penetrating, keen","obtuse, imperceptive, dull"
adamant,adjective,ˈædəmənt,ˈædəmənt,"impervious, immovable, unyielding","Though public pressure was intense, the President remained adamant about his proposal.","kiên quyết, kiên định, không lay chuyển","inexorable, obdurate, intransigent","pliant, tractable, vacillating"
adept,adjective,əˈdɛpt,əˈdɛpt,extremely skilled,Tarzan was adept at jumping from tree to tree like a monkey.,"thành thạo, tinh thông, nhuần nhuyễn","dexterous, consummate, proficient","maladroit, inept, bungling"
adhere,noun,ədˈhɪə,ədˈhɪr,1. to stick to something 2. to follow devoutly,We adhered the poster to the wall with tape.,"tuân thủ, dán, bám sát","cleave, hew, conform","sever, flout, diverge"
admonish,verb,/ədˈmɒnɪʃ/,/ədˈmɑːnɪʃ/,"to caution, criticize, reprove",Joe's mother admonished him not to ruin his appetite by eating cookies before dinner.,"Khuyên răn, nhắc nhở, quở trách","reprimand, rebuke, chide","commend, praise, laud"
adorn,verb,/əˈdɔːn/,/əˈdɔːrn/,to decorate,We adorned the tree with ornaments.,"trang trí, tô điểm, làm đẹp","embellish, bedeck, ornament","divest, strip, disfigure"
adroit,adjective,/əˈdrɔɪt/,/əˈdrɔɪt/,"skillful, dexterous",The adroit thief could pick someone's pocket without attracting notice.,"Khéo léo, lanh lẹ, tinh ranh","deft, dexterous, nimble","clumsy, awkward, inept"
adulation,noun,/ˌædjuˈleɪʃn̩/,/ˌædʒuˈleɪʃn̩/,extreme praise,"Though the book was pretty good, Marcy did not believe it deserved the adulation it received.","Tâng bốc, ca tụng, ngợi ca","fawning, flattery, idolization","censure, criticism, disparagement"
adumbrate,verb,/əˈdʌmbreɪt/,/əˈdʌmbreɪt/,to sketch out in a vague way,"The coach adumbrated a game plan, but none of the players knew precisely what to do.","Phác thảo, mô tả sơ lược, nêu ý chính","foreshadow, outline, intimate","clarify, elaborate, illuminate"
adverse,adjective,/ædˈvɜːs/,/ædˈvɜːrs/,"antagonistic, unfavorable, dangerous","Because of adverse conditions, the hikers decided to give up trying to climb the mountain.","Bất lợi, khắc nghiệt, nguy hiểm","unfavorable, detrimental, antagonistic","propitious, auspicious, beneficial"
advocate,"verb, noun",/ˈædvəkət/,/ˈædvəkət/,1. to argue in favor of something 2. a person who argues in favor of something,"Arnold advocated turning left at the stop sign, even though everyone else thought we should turn right.","ủng hộ, tán thành, chủ trương","champion, espouse, uphold","oppose, impugn, repudiate"
aerial,adjective,/ˈeəriəl/,/ˈɛriəl/,somehow related to the air,We watched as the fighter planes conducted aerial maneuvers.,"trên không, không trung","airborne, ethereal, lofty","terrestrial, grounded, subterranean"
aesthetic,adjective,/iːsˈθɛtɪk/,/ɛsˈθɛtɪk/,"artistic, related to the appreciation of beauty",We hired Susan as our interior decorator because she has such a fine aesthetic sense.,"Thẩm mỹ, Nghệ thuật, Mỹ thuật","artistic, beautiful, tasteful","unaesthetic, unattractive, inartistic"
affable,adjective,/ˈæfəbl/,/ˈæfəbl/,"friendly, amiable",People like to be around George because he is so affable and good-natured.,"Thân thiện, dễ gần, hòa nhã","amiable, genial, cordial","aloof, surly, dour"
affinity,noun,/əˈfɪnɪti/,/əˈfɪnɪti/,a spontaneous feeling of closeness,"Jerry didn't know why, but he felt an incredible affinity for Kramer the first time they met.","Thiên duyên, sự đồng điệu, tâm đầu ý hợp","kinship, predilection, rapport","aversion, antipathy, repulsion"
affluent,adjective,/ˈæfluːənt/,/ˈæfluːənt/,"rich, wealthy","Mrs. Grebelski was affluent, owning a huge house, three cars, and an island near Maine.","Giàu có, sung túc, phú quý","prosperous, opulent, wealthy","impoverished, indigent, destitute"
affront,noun,/əˈfrʌnt/,/əˈfrʌnt/,an insult,"Bernardo was very touchy, and took any slight as an affront to his honor.","Sự sỉ nhục, sự lăng mạ, sự xúc phạm","insult, indignity, opprobrium","compliment, homage, praise"
aggrandize,verb,/əˈɡrandaɪz/,/əˈɡrænˌdaɪz/,to increase or make greater,Joseph always dropped the names of the famous people his father knew as a way to aggrandize his personal stature.,"Nâng cao, Đề cao, Tăng cường","exaggerate, magnify, augment","diminish, abase, deflate"
aggregate,"noun, verb",/ˈæɡrɪɡət/,/ˈæɡrəɡət/,1. a whole or total 2. to gather into a mass,The three branches of the U.S. Government form an aggregate much more powerful than its individual parts.,"tập hợp, tổng thể, gom lại","collection, compilation, conglomerate","individual, component, element"
aggrieved,adjective,/əˈɡriːvd/,/əˈɡriːvd/,"distressed, wronged, injured",The foreman mercilessly overworked his aggrieved employees.,"Bị oan ức, ấm ức, bức xúc","resentful, indignant, wronged","pleased, content, mollified"
agile,adjective,/ˈædʒaɪl/,/ˈædʒəl/,"quick, nimble agnostic believing that the existence of God cannot be proven or disproven",The dogs were too slow to catch the agile rabbit.,"Nhanh nhẹn, linh hoạt","nimble, lithe, spry","clumsy, sluggish, ponderous"
agriculture,noun,/ˈæɡrɪkʌltʃə/,/ˈæɡrɪkʌltʃər/,farming,"It was a huge step in the progress of civilization when tribes left hunting and gathering and began to develop more sustainable methods of obtaining food, such as agriculture.","nông nghiệp, canh nông, trồng trọt","husbandry, cultivation, agronomy","industrialization, urbanization, barrenness"
aisle,noun,/aɪl/,/aɪl/,a passageway between rows of seats,Once we got inside the stadium we walked down the aisle to our seats.,Lối đi,"passageway, corridor, walkway","partition, barrier, blockage"
alacrity,noun,/əˈlækrɪti/,/əˈlækrɪti/,"eagerness, speed","For some reason, Chuck loved to help his mother whenever he could, so when his mother asked him to set the table he did so with alacrity.","Sự sốt sắng, sự nhanh nhẹn, sự mau lẹ","eagerness, readiness, enthusiasm","reluctance, apathy, sluggishness"
alias,noun,/ˈeɪliəs/,/ˈeɪliəs/,a false name or identity,He snuck past the guards by using an alias and fake ID.,"Tên giả, Bí danh, Giả danh","pseudonym, nom de guerre, assumed name","identity, true name, given name"
allay,verb,/əˈleɪ/,/əˈleɪ/,"to soothe, ease",The chairman of the Federal Reserve gave a speech to try to allay investors' fears about an economic downturn.,"Trấn an, xoa dịu, làm dịu","assuage, mitigate, mollify","intensify, exacerbate, heighten"
allege,verb,/əˈledʒ/,/əˈledʒ/,"to assert, usually without proof","The policeman had alleged that Marshall committed the crime, but after the investigation turned up no evidence, Marshall was set free.","Cáo buộc, Tố cáo, Cho rằng","contend, assert, aver","disprove, refute, contradict"
alleviate,verb,/əˈliːvieɪt/,/əˈliːvieɪt/,"to relieve, make more bearable","This drug will alleviate the symptoms of the terrible disease, but only for a while.","giảm nhẹ, giảm bớt, làm dịu","ameliorate, mitigate, assuage","aggravate, exacerbate, worsen"
allocate,verb,/ˈæləkeɪt/,/ˈæləkeɪt/,"to distribute, set aside",The Mayor allocated 30 percent of the funds for improving the town's schools.,"Phân bổ, trích ra, dành ra","apportion, assign, designate","withhold, retain, deny"
aloof,adjective,/əˈluːf/,/əˈluːf/,"reserved, distant","The scientist could sometimes seem aloof, as if he didn't care about his friends or family, but really he was just thinking about quantum mechanics.","Xa cách, hờ hững, thu mình","detached, reserved, distant","gregarious, approachable, genial"
altercation,noun,/ˌɔːltəˈkeɪʃn̩/,/ˌɔltərˈkeɪʃən/,"a dispute, fight","Jason and Lionel blamed one another for the car accident, leading to an altercation.","tranh cãi, cãi vã, xô xát","dispute, quarrel, contention","accord, harmony, conciliation"
amalgamate,verb,/əˈmælɡəmeɪt/,/əˈmælɡəmeɪt/,"to bring together, unite","Because of his great charisma, the presidential candidate was able to amalgamate all democrats and republicans under his banner.","Hợp nhất, Thống nhất, Kết hợp","coalesce, merge, consolidate","separate, diverge, disjoin"
ambiguous,adjective,/æmˈbɪɡjuəs/,/æmˈbɪɡjuəs/,"uncertain, variably interpretable","Some people think Caesar married Cleopatra for her power, others believe he was charmed by her beauty. His actual reasons are ambiguous.","mơ hồ, nước đôi, lưỡng nghĩa","equivocal, obscure, vague","explicit, unequivocal, lucid"
ambivalent,adjective,/æmˈbɪvələnt/,/æmˈbɪvələnt/,having opposing feelings,"My feelings about Calvin are ambivalent because on one hand he is a loyal friend, but on the other, he is a cruel and vicious thief.","Mâu thuẫn, Trái chiều, Phân vân","wavering, irresolute, conflicted","resolute, decisive, certain"
ameliorate,verb,/əˈmiːliəreɪt/,/əˈmiːliəˌreɪt/,to improve,The tense situation was ameliorated when Sam proposed a solution everyone could agree upon.,"Cải thiện, làm tốt hơn, làm dịu","improve, enhance, amend","worsen, exacerbate, deteriorate"
amenable,adjective,/əˈmiːnəbl/,/əˈmiːnəbl/,"willing, compliant",Our father was amenable when we asked him to drive us to the farm so we could go apple picking.,"sẵn lòng, chiều theo, dễ tính","compliant, receptive, tractable","recalcitrant, unyielding, obstinate"
amenity,noun,/əˈmiːnəti/,/əˈmɛnɪti/,an item that increases comfort,"Bill Gates's house is stocked with so many amenities, he never has to do anything for himself.","Tiện nghi, Tiện ích","convenience, comfort, luxury","hardship, inconvenience, deprivation"
amiable,adjective,/ˈeɪmiəbl/,/ˈeɪmiəbl/,friendly amicable friendly,"An amiable fellow, Harry got along with just about everyone.","Thân thiện, Hòa đồng, Dễ mến","friendly, affable, genial","hostile, surly, belligerent"
amorous,adjective,/ˈæmərəs/,/ˈæmərəs/,"showing love, particularly sexual","Whenever Albert saw Mariah wear her slinky red dress, he began to feel quite amorous.","Si tình, Say đắm, Mặn nồng","romantic, passionate, lustful","apathetic, cold, indifferent"
amorphous,adjective,/əˈmɔːfəs/,/əˈmɔːrfəs/,without definite shape or type,"The effort was doomed from the start, because the reasons behind it were so amorphous and hard to pin down.","Mơ hồ, không rõ ràng, vô định hình","nebulous, formless, indeterminate","crystalline, distinct, structured"
anachronistic,adjective,/əˌnæk.rəˈnɪs.tɪk/,/əˌnæk.rəˈnɪs.tɪk/,being out of correct chronological order,"In this book you're writing, you say that the Pyramids were built after the Titanic sank, which is anachronistic.","Sai niên đại, lệch thời đại, sai thời điểm","antiquated, archaic, obsolete","contemporary, modern, timely"
analgesic,noun,/ˌæn.əlˈdʒiː.zɪk/,/ˌæn.əlˈdʒiː.zɪk/,something that reduces pain,Put this analgesic on the wound so that the poor man at least feels a little better.,Thuốc giảm đau,"anodyne, palliative, numbing","irritant, stimulant, sensitizer"
analogous,adjective,/əˈnæl.ə.ɡəs/,/əˈnæl.ə.ɡəs/,"similar to, so that an analogy can be drawn","Though they are unrelated genetically, the bone structure of whales and fish is quite analogous.","Tương đồng, Tương tự","comparable, parallel, correspondent","disparate, dissimilar, divergent"
anarchist,noun,/ˈæn.ə.kɪst/,/ˈæn.ər.kɪst/,one who wants to eliminate all government,"An anarchist, Carmine wanted to dissolve every government everywhere.","Người vô chính phủ, Kẻ vô chính phủ","insurgent, nihilist, subverter","conformist, loyalist, authoritarian"
anathema,noun,/əˈnæθɪmə/,/əˈnæθəmə/,"a cursed, detested person",I never want to see that murderer. He is an anathema to me.,"Kẻ đáng nguyền rủa, Kẻ bị nguyền rủa, Kẻ bị ghét bỏ","abomination, execration, pariah","benediction, blessing, idol"
anecdote,noun,/ˈænɪkdəʊt/,/ˈænɪkdoʊt/,"a short, humorous account","After dinner, Marlon told an anecdote about the time he got his nose stuck in a toaster.","Giai thoại, Mẩu chuyện vui, Chuyện vui","narrative, reminiscence, vignette","saga, chronicle, epic"
anesthesia,noun,/ˌænɪsˈθiːziə/,/ˌænɪsˈθiːʒə/,loss of sensation,"When the nerves in his spine were damaged, Mr. Hollins suffered anesthesia in his legs.","Mất cảm giác, tê bì","numbness, insensibility, stupor","sentience, consciousness, awareness"
anguish,noun,/ˈæŋɡwɪʃ/,/ˈæŋɡwɪʃ/,"extreme sadness, torment",Angelos suffered terrible anguish when he learned that Buffy had died while combating a strange mystical force of evil.,"Đau khổ, Nỗi đau tột cùng, Dằn vặt","torment, agony, tribulation","solace, euphoria, contentment"
animated,adjective,/ˈænɪmeɪtɪd/,/ˈænɪmeɪtɪd/,lively,"When he begins to talk about drama, which is his true passion, he becomes very animated.","sôi nổi, hăng hái, hoạt bát","vibrant, vivacious, ebullient","lethargic, languid, spiritless"
annex,"verb, noun",/ˈæn.ɛks/,/ˈæn.ɛks/,1. to incorporate territory or space 2. a room attached to a larger room or space,"After defeating them in battle, the Russians annexed Poland.","Sáp nhập, thôn tính, phòng phụ","incorporate, appropriate, seize","relinquish, cede, detach"
annul,verb,/əˈnʌl/,/əˈnʌl/,to make void or invalid,"After seeing its unforeseen and catastrophic effects, Congress sought to annul the law.","Hủy bỏ, Vô hiệu hóa, Bãi bỏ","abrogate, invalidate, rescind","ratify, validate, sanction"
anomaly,noun,/əˈnɒm.ə.li/,/əˈnɑː.mə.li/,something that does not fit into the normal order,"""That rip in the space- time continuum is certainly a spatial anomaly,"" said Spock to Captain Kirk.","Dị thường, Bất thường, Lệch chuẩn","aberration, peculiarity, deviation","norm, standard, typicality"
anonymous,adjective,/əˈnɒn.ɪ.məs/,/əˈnɑː.nɪ.məs/,"being unknown, unrecognized",Mary received a love poem from an anonymous admirer.,"ẩn danh, giấu tên, vô danh","unnamed, incognito, unidentified","named, known, identified"
antagonism,noun,/ænˈtæɡ.ə.nɪ.zəm/,/ænˈtæɡ.ə.nɪ.zəm/,hostility,"Superman and Bizarro Superman shared a mutual antagonism, and often fought.","Thù địch, Đối kháng, Mâu thuẫn","animosity, antipathy, enmity","amity, accord, benevolence"
antecedent,noun,/ˌæntɪˈsiːdnt/,/ˌæntəˈsiːdnt/,something that came before,The great tradition of Western culture had its antecedent in the culture of Ancient Greece.,"tiền thân, nguồn gốc, cội nguồn","precursor, forerunner, prototype","successor, descendant, consequence"
antediluvian,adjective,/ˌæntɪdɪˈluːviən/,/ˌæntɪdəˈluːviən/,ancient,The antediluvian man still believed that Eisenhower was president of the United States and that hot dogs cost a nickel.,"cổ xưa, lỗi thời, cũ rích","ancient, archaic, primordial","modern, contemporary, novel"
anthology,noun,/ænˈθɒlədʒi/,/ænˈθɑːlədʒi/,"a selected collection of writings, songs, etc.",The new anthology of Bob Dylan songs contains all his greatest hits and a few songs that you might never have heard before.,"Tuyển tập, tuyển chọn, hợp tuyển","compendium, collection, miscellany","single work, monograph, individual piece"
antipathy,noun,/ænˈtɪpəθi/,/ænˈtɪpəθi/,"a strong dislike, repugnance","I know you love me, but because you are a liar and a thief, I feel nothing but antipathy for you.","Ác cảm, căm ghét, thù ghét","aversion, animosity, loathing","affinity, fondness, camaraderie"
antiquated,adjective,/ˈæntɪkweɪtɪd/,/ˈæntɪkweɪtɪd/,"old, out of date","That antiquated car has none of the features, like power windows and steering, that make modern cars so great.","Cổ lỗ sĩ, Lỗi thời, Lạc hậu","obsolete, archaic, anachronistic","modern, contemporary, cutting-edge"
antiseptic,adjective,/ˌæntɪˈseptɪk/,/ˌæntɪˈseptɪk/,"clean, sterile","The antiseptic hospital was very bare, but its cleanliness helped to keep patients healthy.","vô trùng, tiệt trùng, sạch sẽ","sterile, hygienic, germicidal","contaminated, septic, unhygienic"
antithesis,noun,/ænˈtɪθəsɪs/,/ænˈtɪθəsɪs/,the absolute opposite,"Your values, which hold war and violence in the highest esteem, are the antithesis of my pacifist beliefs.","Đối cực, Sự đối lập, Sự trái ngược","converse, inverse, antipode","equivalent, parallel, resemblance"
anxiety,noun,/æŋˈzaɪəti/,/æŋˈzaɪəti/,intense uneasiness,"When he heard about the car crash, he felt anxiety because he knew that his girlfriend had been driving on the road where the accident occurred.","Lo lắng, sốt ruột, bồn chồn","apprehension, trepidation, disquiet","serenity, tranquility, composure"
apathetic,adjective,/ˌæpəˈθetɪk/,/ˌæpəˈθetɪk/,"lacking concern, emotion","Uninterested in politics, Bruno was apathetic about whether he lived under a capitalist or communist regime.","Thờ ơ, Dửng dưng, Lãnh đạm","indifferent, languid, listless","zealous, fervent, passionate"
apocryphal,adjective,/əˈpɒkrɪfl/,/əˈpɑːkrəfəl/,"fictitious, false, wrong","Because I am standing before you, it seems obvious that the stories circulating about my demise were apocryphal.","bịa đặt, sai sự thật, không có thật","dubious, spurious, legendary","authentic, factual, verifiable"
appalling,adjective,/əˈpɔːlɪŋ/,/əˈpɔlɪŋ/,"inspiring shock, horror, disgust",The judge found the murderer's crimes and lack of remorse appalling.,"Khủng khiếp, Ghê tởm, Kinh khủng","dreadful, horrific, egregious","commendable, laudable, admirable"
appease,verb,/əˈpiːz/,/əˈpiːz/,"to calm, satisfy","When the child cries, the mother gives him candy to appease him.","dỗ dành, xoa dịu, làm hài lòng","placate, mollify, conciliate","provoke, inflame, exacerbate"
appraise,verb,/əˈpreɪz/,/əˈpreɪz/,to assess the worth or value of,A realtor will come over tonight to appraise our house.,"Định giá, thẩm định, đánh giá","assess, evaluate, gauge","disregard, overlook, ignore"
apprehend,verb,/ˌæprɪˈhend/,/ˌæprɪˈhɛnd/,"1. to seize, arrest 2. to perceive, understand, grasp",The criminal was apprehended at the scene.,"Bắt giữ, hiểu, lĩnh hội","comprehend, discern, perceive","misunderstand, misinterpret, disregard"
approbation,noun,/ˌæprəˈbeɪʃən/,/ˌæprəˈbeɪʃən/,praise,The crowd welcomed the heroes with approbation.,"Khen ngợi, Tán dương, Ngợi ca","commendation, endorsement, acclaim","disapproval, censure, condemnation"
appropriate,verb,/əˈprəʊpriət/,/əˈproʊpriət/,"to take, make use of",The government appropriated the farmer's land without justification.,"Chiếm đoạt, tịch thu, sung công","apposite, pertinent, apropos","incongruous, inapposite, extraneous"
aquatic,adjective,/əˈkwætɪk/,/əˈkwɑːtɪk/,relating to water,The marine biologist studies starfish and other aquatic creatures.,"thủy sinh, dưới nước","marine, fluvial, pelagic","terrestrial, arboreal, xerophilous"
arable,adjective,/ˈærəbəl/,/ˈærəbəl/,suitable for growing crops,The farmer purchased a plot of arable land on which he will grow corn and sprouts.,"Canh tác được, Trồng trọt được, Có thể canh tác","cultivable, tillable, fecund","barren, fallow, infertile"
arbiter,noun,/ˈɑːbɪtə/,/ˈɑːrbɪtər/,"one who can resolve a dispute, make a decision",The divorce court judge will serve as the arbiter between the estranged husband and wife.,"Người phân xử, Trọng tài","mediator, adjudicator, umpire","partisan, litigant, disputant"
arbitrary,adjective,/ˈɑːbɪtrəri/,/ˈɑːrbɪtreri/,based on factors that appear random,The boy's decision to choose one college over another seems arbitrary.,"Tùy tiện, Ngẫu nhiên, Vô cớ","capricious, whimsical, discretionary","rational, methodical, judicious"
arbitration,noun,/ˌɑːbɪˈtreɪʃən/,/ˌɑːrbɪˈtreɪʃən/,the process or act of resolving a dispute,The employee sought official arbitration when he could not resolve a disagreement with his supervisor.,"Trọng tài, Phân xử","mediation, conciliation, negotiation","contention, dispute, disagreement"
arboreal,adjective,/ɑːˈbɔːriəl/,/ɑːrˈbɔːriəl/,of or relating to trees,"Leaves, roots, and bark are a few arboreal traits.","Thuộc về cây, liên quan đến cây, mang tính cây","sylvan, dendriform, tree-dwelling","terrestrial, subterranean, ground-dwelling"
arcane,adjective,/ɑːˈkeɪn/,/ɑːrˈkeɪn/,"obscure, secret, known only by a few",The professor is an expert in arcane Lithuanian literature.,"Bí truyền, Huyền bí, Thâm sâu","recondite, esoteric, enigmatic","common, familiar, transparent"
archaic,adjective,/ɑːˈkeɪɪk/,/ɑːrˈkeɪɪk/,"of or relating to an earlier period in time, outdated","In a few select regions of Western Mongolian, an archaic Chinese dialect is still spoken.","Cổ xưa, lỗi thời, xa xưa","antiquated, obsolete, anachronistic","modern, current, contemporary"
archetypal,adjective,/ˌɑːkɪˈtaɪpəl/,/ˌɑːrkɪˈtaɪpəl/,the most representative or typical example of something,"Some believe George Washington, with his flowing white hair and commanding stature, was the archetypal politician.","Tiêu biểu nhất, Điển hình nhất, Mẫu mực","quintessential, exemplary, paradigmatic","atypical, aberrant, divergent"
ardor,noun,/ˈɑːdə/,/ˈɑːrdər/,"extreme vigor, energy, enthusiasm",The soldiers conveyed their ardor with impassioned battle cries.,"Nhiệt huyết, sự hăng hái, lòng nhiệt thành","fervor, passion, zeal","apathy, indifference, languor"
