word,type,cefr,phon_br,phon_n_am,definition,example,vietnamese,synonyms,antonyms
adhere,verb,c2,/ədˈhɪə/,/ədˈhɪr/,"Stick (to), such as with glue, or to a plan or belief",All participants must adhere to the safety guidelines throughout the experiment.,"Tuân thủ, Dán, Bám","comply, conform, uphold","deviate, renounce, detach"
admonish,verb,c2,/ədˈmɒnɪʃ/,/ədˈmɑːnɪʃ/,"Mildly scold; caution, advise, or remind to do something",The teacher had to admonish the student for disrupting the class with his loud chatter.,"Khuyên răn, Cảnh cáo, Nhắc nhở","reprimand, censure, reprove","commend, laud, extol"
adverse,adjective,c2,/ˈædvɜːs/,/ˈædvɜːrs/,"Opposing, harmful",The adverse economic conditions led to many job losses across the country.,"Bất lợi, Có hại, Đối nghịch","detrimental, deleterious, pernicious","favorable, propitious, beneficial"
advocate,verb,c2,/ˈædvəkeɪt/,/ˈædvəˌkeɪt/,Speak or argue in favor of (verb); a person who pleads for a cause or on behalf of another person (noun),Many organizations advocate for policies that protect the environment and wildlife.,"Ủng hộ, Bênh vực, Cổ súy","champion, espouse, endorse","denounce, condemn, repudiate"
aesthetic,adjective,c2,/iːsˈθɛtɪk/,/ɛsˈθɛtɪk/,"Concerning the appreciation of beauty or good taste, pertaining to the science of what is beautiful (adj); a sense of beauty and taste of a particular time and place (noun)","The interior designer paid great attention to the aesthetic details, creating a visually pleasing space.","Thẩm mỹ, Mỹ học, Mỹ quan","Artistic, Tasteful, Elegant","Crude, Gaudy, Unsightly"
affable,adjective,c2,/ˈæfəbəl/,/ˈæfəbəl/,"Warm and friendly, pleasant, approachable","His affable nature made him a favorite among his colleagues, always ready with a kind word.","Thân thiện, Hòa nhã, Dễ gần","genial, gregarious, amiable","aloof, reserved, unapproachable"
affectation,noun,c2,/ˌæfɛkˈteɪʃən/,/ˌæfɛkˈteɪʃən/,Fake behavior (such as in speech or dress) adopted to give a certain impression,"Her British accent was an affectation she adopted to impress people, despite never having lived in England.","Điệu bộ, Làm bộ làm tịch, Thói làm điệu","pretense, artifice, posturing","authenticity, sincerity, candor"
aggrandize,verb,c2,/əˈɡræn.daɪz/,/əˈɡrænˌdaɪz/,Make greater; exaggerate,"He attempted to aggrandize his role in the company's success, though his contribution was minimal.","Thổi phồng, Phóng đại, Nâng cao","exalt, augment, embellish","diminish, debase, belittle"
aggregate,noun,c2,/ˈæɡrɪɡət/,/ˈæɡrɪɡət/,"Gather together, amount to (verb); constituting a whole made up of constituent parts (adj)",The aggregate of all their donations allowed the charity to reach its fundraising goal.,"tập hợp, tổng hợp, tổng thể","amalgamate, consolidate, accumulate","disperse, disintegrate, fragment"
alacrity,noun,c2,/əˈlækrəti/,/əˈlækrəti/,Cheerful or speedy willingness,"She responded to the urgent request with alacrity, completing the task well before the deadline.","Sự sốt sắng, Sự hăng hái, Sự nhanh nhẹn","eagerness, promptness, celerity","reluctance, apathy, indifference"
alienate,verb,c2,/ˈeɪ.li.ə.neɪt/,/ˈeɪ.li.ə.neɪt/,"Cause to become unfriendly, hostile, or distant","His sarcastic remarks began to alienate his coworkers, making him feel isolated.","Gây xa lánh, Làm cho ghét bỏ, Đẩy ra xa","estrange, antagonize, disaffect","reconcile, conciliate, unify"
alleviate,verb,c2,/əˈliː.vi.eɪt/,/əˈliː.vi.eɪt/,"Lessen, make easier to endure",The massage helped to alleviate the tension in her shoulders.,"Giảm bớt, Giảm nhẹ, Xoa dịu","mitigate, assuage, ameliorate","exacerbate, aggravate, intensify"
ambiguous,adjective,c2,/æmˈbɪɡ.ju.əs/,/æmˈbɪɡ.ju.əs/,"Not clear, hard to understand, open to having several meanings or interpretations","The ending of the film was ambiguous, leaving viewers to interpret its meaning.","Mơ hồ, Đa nghĩa, Mập mờ","equivocal, obscure, vague","unequivocal, explicit, lucid"
ambivalent,adjective,c2,/æmˈbɪv.əl.ənt/,/æmˈbɪv.ə.lənt/,"Uncertain; unable to decide, or wanting to do two contradictory things at once","She felt ambivalent about the job offer, excited by the opportunity but hesitant about the long commute.",ERROR,"equivocal, vacillating, conflicted","resolute, decisive, unequivocal"
analogous,adjective,c2,/əˈnæl.ə.ɡəs/,/əˈnæl.ə.ɡəs/,"Comparable, corresponding in some particular way (making a good analogy)",The relationship between a captain and their ship is analogous to a conductor and their orchestra.,"Tương tự, Tương ứng, So sánh được","comparable, equivalent, commensurate","dissimilar, disparate, incongruous"
anarchy,noun,c2,/ˈænəki/,/ˈænərki/,"Absence of law or government; chaos, disorder",The sudden collapse of the government led to a period of widespread anarchy throughout the country.,"Vô chính phủ, Hỗn loạn, Vô pháp luật","lawlessness, turmoil, pandemonium","governance, stability, cohesion"
anoint,verb,c2,/əˈnɔɪnt/,/əˈnɔɪnt/,"Rub or sprinkle oil on; make sacred, such as by a ceremony that includes applying oil to someone",The priest will anoint the new king with sacred oil during the coronation ceremony.,"xức dầu, thánh hiến, phong chức","consecrate, sanctify, ordain","desecrate, profane, defile"
anomaly,noun,c2,/əˈnɒməli/,/əˈnɑːməli/,Deviation from what is common; inconsistency,The discovery of a planet orbiting two stars is considered an astronomical anomaly.,"Sự bất thường, Điều bất thường, Sự dị thường","aberration, discrepancy, deviation","conformity, regularity, consistency"
antagonize,verb,c2,/ænˈtæɡənaɪz/,/ænˈtæɡənaɪz/,Make hostile or unfriendly,"Try not to antagonize your younger brother, or he might start crying again.","Gây thù chuốc oán, Khiêu khích, Gây hấn","provoke, incite, estrange","conciliate, reconcile, appease"
apathy,noun,c2,/ˈæpəθi/,/ˈæpəθi/,Not caring; absence of feeling; lack of interest or concern,The widespread apathy among voters resulted in a very low turnout for the election.,"thờ ơ, vô cảm, lãnh đạm","Indifference, Disinterest, Passivity","Fervor, Zeal, Engagement"
apocryphal,adjective,c2,/əˈpɒkrɪfəl/,/əˈpɑkrɪfəl/,Of questionable authenticity; false,"The story of the ancient city hidden beneath the lake was largely apocryphal, passed down through generations but lacking concrete evidence.","Hư cấu, Bịa đặt, Không xác thực","spurious, dubious, fictitious","veritable, authentic, indubitable"
arcane,adjective,c2,/ɑːˈkeɪn/,/ɑːrˈkeɪn/,"Known or understood by only a few; obscure, secret",Only a handful of experts understood the arcane rules of the secret society.,"Huyền bí, Bí truyền, Thâm sâu","esoteric, abstruse, recondite","manifest, patent, ubiquitous"
archaic,adjective,c2,/ɑːˈkeɪɪk/,/ɑːrˈkeɪɪk/,"Characteristic of an earlier period, ancient, primitive",The company's computer systems were so archaic that they often crashed during peak hours.,"Cổ xưa, Lỗi thời, Cổ hủ","obsolete, antiquated, primeval","contemporary, cutting-edge, novel"
arduous,adjective,c2,/ˈɑːdʒuəs/,/ˈɑːrdʒuəs/,"Very difficult, strenuous; severe, hard to endure",The arduous climb to the mountain's summit left the hikers exhausted but triumphant.,"gian nan, cực nhọc, vất vả","Onerous, Exacting, Formidable","Effortless, Facile, Undemanding"
articulate,verb,c2,/ɑːˈtɪkjuleɪt/,/ɑːrˈtɪkjuleɪt/,"Using language in a clear, fluent way (adj); speak distinctly or give clarity to an idea (verb)",It's important for a leader to be able to clearly articulate their vision to their team.,"Diễn đạt, Lưu loát, Rõ ràng","eloquent, coherent, lucid","inarticulate, incoherent, muddled"
artifact,noun,c2,/ˈɑːtɪfakt/,/ˈɑːrtɪfækt/,"Any object made by humans, especially those from an earlier time, such as those excavated by archaeologists",The archaeologists carefully unearthed an ancient artifact from the Roman era.,"Hiện vật, Cổ vật, Di vật","relic, antiquity, vestige","natural phenomenon, geological formation, organism"
artless,adjective,c2,/ˈɑːtləs/,/ˈɑːrtlɪs/,"Free of deceit or craftiness, natural, genuine; lacking skill or knowledge, crude, uncultured","Her artless honesty, though sometimes blunt, was refreshing to everyone around her.","Chất phác, Ngây thơ, Vụng về","ingenuous, guileless, unfeigned","cunning, duplicitous, machiavellian"
ascertain,verb,c2,/ˌæsəˈteɪn/,/ˌæsərˈteɪn/,Find out with certainty,The detective worked tirelessly to ascertain the truth about the mysterious disappearance.,"Xác định, Tìm hiểu rõ, Làm rõ","determine, verify, corroborate","conjecture, speculate, obfuscate"
ascetic,adjective,c2,/əˈsetɪk/,/əˈsetɪk/,"abstinent or austere in lifestyle (adj); a person who leads an austere and simple life without material pleasures, esp. someone who does this for religious reasons",The ascetic monk chose to live a life of strict self-denial and few material possessions.,"khổ hạnh, tu khổ hạnh, nhà khổ hạnh","austere, abstinent, abstemious","hedonistic, sybaritic, decadent"
assuage,verb,c2,/əˈsweɪdʒ/,/əˈsweɪdʒ/,"Make milder, relieve; soothe, pacify, or calm",He tried to assuage her guilt by explaining that the mistake was not entirely her fault.,"giảm nhẹ, xoa dịu, làm dịu","mitigate, alleviate, mollify","exacerbate, aggravate, intensify"
audacious,adjective,c2,/ɔːˈdeɪʃəs/,/ɔːˈdeɪʃəs/,"Very bold or brave, often in a rude or reckless way; extremely original",The audacious plan to climb Mount Everest without oxygen was met with both awe and skepticism.,"Táo bạo, Liều lĩnh, Đột phá","intrepid, presumptuous, daring","diffident, meek, pusillanimous"
augment,verb,c2,/ɔːɡˈmɛnt/,/ɔːɡˈmɛnt/,Make larger,"To augment his income, he started tutoring students in the evenings.","Gia tăng, Mở rộng, Phóng to","amplify, enhance, bolster","diminish, curtail, abate"
austere,adjective,c2,/ɔːˈstɪə/,/ɔːˈstɪr/,"Severe in manner or appearance; very self-disciplined, ascetic; without luxury or ease; sober or serious",The headmaster was known for his austere demeanor and strict adherence to rules.,"nghiêm khắc, khắc khổ, thanh đạm","ascetic, rigorous, sober","luxurious, opulent, hedonistic"
autonomous,adjective,c2,/ɔːˈtɒnəməs/,/ɔːˈtɑːnəməs/,"Self-governing, independent",Many young adults strive to become financially autonomous from their parents.,"Tự trị, Độc lập, Tự chủ","sovereign, self-governing, unfettered","subservient, subordinate, beholden"
aver,verb,c2,/əˈvɜː/,/əˈvɜːr/,Declare or affirm with confidence,"Despite the mounting evidence, she continued to aver her complete innocence.","Khẳng định, Tuyên bố, Quả quyết","assert, proclaim, avow","refute, recant, disavow"
avid,adjective,c2,/ˈævɪd/,/ˈævɪd/,"Enthusiastic, dedicated, passionate; excessively desirous",He is an avid collector of rare stamps and travels the world to find new additions.,"Say mê, Đam mê, Nhiệt thành","ardent, zealous, fervent","apathetic, indifferent, lethargic"
balk,verb,c2,/bɔːk/,/bɑːk/,Refuse to proceed or to do something,Many consumers balk at the idea of paying such high prices for organic produce.,"Chùn bước, Từ chối, Ngần ngại","demur, recoil, scruple","acquiesce, capitulate, accede"
base,adjective,c2,/beɪs/,/beɪs/,"Morally low, mean, dishonorable; of little or no value; crude and unrefined; counterfeit",The politician's base motives for helping the poor were eventually exposed as self-serving.,"Ti tiện, Thô tục, Giả mạo","ignoble, contemptible, vile","noble, exalted, magnanimous"
belie,verb,c2,/bɪˈlaɪ/,/bɪˈlaɪ/,Contradict or misrepresent,Her cheerful demeanor belied the profound sadness she felt after the loss of her pet.,"mâu thuẫn với, làm sai lệch, che đậy","contradict, gainsay, mask","corroborate, substantiate, affirm"
benign,adjective,c2,/bɪˈnaɪn/,/bɪˈnaɪn/,"Harmless; favorable; kindly, gentle, or beneficial; not cancerous",The doctor's diagnosis was reassuring; the growth was completely benign and harmless.,"lành tính, vô hại, có lợi","innocuous, benevolent, propitious","malignant, pernicious, malevolent"
bogus,adjective,c2,/ˈbəʊɡəs/,/ˈboʊɡəs/,"Fake, fraudulent","The email asking for her bank details was clearly bogus, a phishing attempt.","Giả mạo, Lừa đảo, Rởm","spurious, counterfeit, fabricated","authentic, veritable, bona fide"
bolster,verb,c2,/ˈbəʊlstə/,/ˈboʊlstər/,Strengthen or support,"To bolster her confidence, she practiced her presentation several times before the meeting.","Củng cố, Tăng cường, Ủng hộ","reinforce, fortify, buttress","undermine, enervate, impede"
boor,noun,c2,/bʊə/,/bʊr/,"Rude, ill-mannered, or insensitive person; a peasant or country bumpkin","He behaved like a boor at the dinner party, making rude comments and interrupting everyone.","Thô lỗ, Kẻ thô tục, Người nhà quê","churl, lout, oaf","sophisticate, urbane, cosmopolitan"
buffer,noun,c2,/ˈbʌfə/,/ˈbʌfər/,"Something that shields, protects, absorbs shock, or cushions",The dense forest served as a natural buffer between the town and the industrial complex.,"Vật đệm, Vật che chắn, Giảm chấn","safeguard, bulwark, cushion","catalyst, aggravator, vulnerability"
bureaucracy,noun,c2,/bjʊəˈrɒkrəsi/,/bjʊˈrɑːkrəsi/,"Government characterized by many bureaus and petty administrators or by excessive, seemingly meaningless requirements",Navigating the labyrinthine bureaucracy of the permit office often proved frustrating for new business owners.,"Bộ máy quan liêu, Bệnh quan liêu, Thủ tục hành chính rườm rà","red tape, officialdom, paperwork","efficiency, agility, streamlining"
burgeon,verb,c2,/ˈbɜːdʒən/,/ˈbɜːrdʒən/,Grow or flourish rapidly; put forth buds or shoots (of a plant),The company's sales began to burgeon after the successful marketing campaign.,"Đâm chồi nảy lộc, Phát triển mạnh, Nở rộ","proliferate, flourish, augment","wane, diminish, dwindle"
buttress,verb,c2,/ˈbʌtrəs/,/ˈbʌtrəs/,"Support or encourage (verb); a support or prop, esp. projecting from and supporting the wall of a building (noun)",The architect designed a strong foundation to buttress the massive walls of the cathedral.,"Trụ chống, chống đỡ, ủng hộ","bolster, fortify, underpin","undermine, subvert, erode"
bygone,adjective,c2,/ˈbaɪɡɒn/,/ˈbaɪɡɔːn/,"Past, former (adj); that which is in the past (usually plural noun)",She often reminisced about the simple pleasures of a bygone era.,"Quá khứ, Xưa cũ, Dĩ vãng","erstwhile, antiquated, obsolete","contemporary, forthcoming, prevailing"
cacophony,noun,c2,/kəˈkɒfəni/,/kəˈkɑːfəni/,"Harsh, discordant, or meaningless mixture of sounds","The urban construction site was a cacophony of drills, hammers, and shouting voices.","Tạp âm, Tiếng ồn chói tai, Âm thanh hỗn loạn","discord, dissonance, clamor","harmony, euphony, concord"
candid,adjective,c2,/ˈkændɪd/,/ˈkændɪd/,"Open, sincere, honest",His candid remarks about the company's financial state surprised everyone at the meeting.,"Thẳng thắn, Chân thành, Trung thực","forthright, unreserved, frank","evasive, duplicitous, disingenuous"
canonical,adjective,c2,/kəˈnɒnɪkl̩/,/kəˈnɑnɪkl̩/,"Authorized, recognized; pertaining to the canon, or body of accepted rules, standards or artistic works",The author's latest novel is already being hailed as a canonical work of modern literature.,"chính thống, kinh điển, chuẩn tắc","authoritative, orthodox, sanctioned","heterodox, unsanctioned, apocryphal"
capricious,adjective,c2,/kəˈprɪʃəs/,/kəˈprɪʃəs/,"Acting on impulse, erratic",The capricious weather made it difficult to plan outdoor activities for the weekend.,"Thất thường, Nổi hứng, Khó lường","mercurial, fickle, volatile","steadfast, resolute, consistent"
cartography,noun,c2,/kɑːˈtɒɡrəfi/,/kɑrˈtɑɡrəfi/,Mapmaking,"Her passion for exploration led her to study cartography, hoping to create detailed maps of uncharted territories.","Bản đồ học, Làm bản đồ, Sản xuất bản đồ","chorography, topography, geodesy","obscurity, indeterminacy, ambiguity"
castigate,verb,c2,/ˈkæstɪɡeɪt/,/ˈkæstɪɡeɪt/,Criticize severely; punish in order to correct,The coach castigated the team for their lack of effort during the crucial final minutes of the game.,"Chỉ trích gay gắt, Quở trách, Khiển trách","rebuke, reprimand, censure","commend, laud, extol"
catalyst,noun,c2,/ˈkætəlɪst/,/ˈkætəlɪst/,Causer of change,The manager's innovative ideas served as a catalyst for significant improvements in team productivity.,"Chất xúc tác, Tác nhân, Yếu tố xúc tác","impetus, stimulus, incitement","impediment, deterrent, stabilizer"
caustic,adjective,c2,/ˈkɔːstɪk/,/ˈkɔːstɪk/,Capable of corroding metal or burning the skin; very critical or sarcastic,Her caustic remarks about his performance left him feeling deeply hurt.,"Ăn mòn, châm biếm, độc địa","acerbic, trenchant, vitriolic","benevolent, conciliatory, affable"
censure,verb,c2,/ˈsɛnʃə/,/ˈsɛnʃər/,Strong disapproval or official reprimand (noun); to issue such disapproval or reprimand (verb),The committee voted to censure the senator for his unethical behavior.,"Khiển trách, Chỉ trích, Lên án","reprimand, admonish, castigate","commendation, acclaim, extol"
chauvinism,noun,c2,/ˈʃəʊvɪnɪzəm/,/ˈʃoʊvɪnɪzəm/,"Fanatical patriotism or blind enthusiasm for military glory; undue or biased devotion to any group, cause, etc.",His blatant chauvinism made it impossible for him to work effectively with his female colleagues.,"Chủ nghĩa sô vanh, Chủ nghĩa dân tộc cực đoan, Chủ nghĩa yêu nước mù quáng","jingoism, bigotry, partisanship","impartiality, objectivity, cosmopolitanism"
chronological,adjective,c2,/ˌkrɒnəˈlɒdʒɪkəl/,/ˌkrɑːnəˈlɑːdʒɪkəl/,Arranged in or relating to time order,"Please arrange the historical events in chronological order, from oldest to newest.","Theo thứ tự thời gian, Trình tự thời gian, Biên niên","sequential, consecutive, successive","achronological, disordered, haphazard"
clamor,noun,c2,/ˈklæmə/,/ˈklæmər/,"Noisy uproar or protest, as from a crowd; a loud, continuous noise",The clamor of the protesters outside the building could be heard throughout the meeting.,"ồn ào, huyên náo, la ó","din, hubbub, tumult","tranquility, serenity, quietude"
clinch,verb,c2,/klɪntʃ/,/klɪntʃ/,Make final or settle conclusively; to fasten or hold together,The boxer needed to win the final round to clinch the title.,"Giành được, Hoàn tất, Ghì chặt","secure, cement, consummate","jeopardize, undermine, defer"
coalesce,verb,c2,/ˌkəʊəˈlɛs/,/ˌkoʊəˈlɛs/,"Come together, unite; fuse together","Over time, the small puddles began to coalesce into a larger stream.","hợp nhất, kết tụ, dung hợp","amalgamate, integrate, consolidate","disperse, fragment, dissipate"
cogent,adjective,c2,/ˈkəʊdʒənt/,/ˈkoʊdʒənt/,"Very convincing, logical",The lawyer presented a cogent argument that swayed the jury.,"Thuyết phục, hợp lý, chặt chẽ","compelling, persuasive, irrefutable","specious, fallacious, unsubstantiated"
commensurate,adjective,c2,/kəˈmɛnʃərət/,/kəˈmɛnʃərɪt/,"The same in size, extent, etc., equivalent; proportional",His pay raise was commensurate with his increased responsibilities.,"Tương xứng, Xứng đáng, Phù hợp","equivalent, proportionate, analogous","disproportionate, incommensurate, disparate"
complacent,adjective,c2,/kəmˈpleɪsnt/,/kəmˈpleɪsnt/,"Self-satisfied, smug; overly content (and therefore lazy, neglectful, or some other bad quality)","The team became complacent after winning several games, leading to an unexpected loss.","Tự mãn, chủ quan, an phận","smug, self-satisfied, apathetic","vigilant, assiduous, conscientious"
complementary,adjective,c2,/ˌkɒmplɪˈmentəri/,/ˌkɑmpləˈmentəri/,Completing; fitting together well; filling mutual needs,"The two colors are complementary, creating a harmonious and balanced look when used together.","Bổ sung, Bổ trợ, Hỗ trợ lẫn nhau","interdependent, reciprocal, synergistic","conflicting, disparate, contradictory"
compliant,adjective,c2,/kəmˈplaɪənt/,/kəmˈplaɪənt/,"Obeying, submissive; following the requirements",The company was praised for being compliant with all safety regulations.,"Tuân thủ, Vâng lời, Phục tùng","obsequious, docile, amenable","defiant, recalcitrant, intransigent"
concede,verb,c2,/kənˈsiːd/,/kənˈsiːd/,"Give in, admit, yield; acknowledge reluctantly; grant or give up (such as giving up land after losing a war)","After reviewing the evidence, the lawyer had to concede that his client's alibi was weak.","Thừa nhận, Nhượng bộ, Nhường lại","acknowledge, capitulate, acquiesce","contend, dispute, resist"
conciliatory,adjective,c2,/kənˈsɪliətəri/,/kənˈsɪliətɔːri/,"Reconciling, appeasing, attempting to make the peace",The manager adopted a conciliatory tone during the negotiation to try and resolve the dispute peacefully.,"Hòa giải, Xoa dịu, Hòa hoãn","placatory, propitiatory, reconciliatory","provocative, antagonistic, belligerent"
concur,verb,c2,/kənˈkɜː/,/kənˈkɜːr/,"Approve, agree",Scientists concur that climate change is a serious threat requiring immediate action.,"Đồng ý, Tán thành, Nhất trí","assent, accede, endorse","dissent, contradict, gainsay"
condone,verb,c2,/kənˈdəʊn/,/kənˈdoʊn/,"Overlook, tolerate, regard as harmless",The principal announced that the school would not condone cheating under any circumstances.,"Châm chước, dung thứ, bỏ qua","countenance, sanction, acquiesce","repudiate, censure, denounce"
confer,verb,c2,/kənˈfɜː/,/kənˈfɝː/,"Consult, compare views; bestow or give",The lawyers needed to confer with their clients before agreeing to the settlement.,"Hội ý, Ban tặng, Phong tặng","deliberate, bestow, grant","withhold, revoke, disregard"
connoisseur,noun,c2,/ˌkɒnəˈsɜː/,/ˌkɑːnəˈsɝː/,"Expert, especially in the fine arts; person of educated, refined tastes","As a true connoisseur of art, she could identify the painter of a masterpiece with just a glance.","Người sành sỏi, Chuyên gia, Bậc thầy","aesthete, maven, cognoscente","philistine, ignoramus, neophyte"
console,verb,c2,/kənˈsəʊl/,/kənˈsoʊl/,"Lessen the suffering or grief of (verb); a control panel, or small table or cabinet (noun)","After the team lost the championship, the coach tried to console his heartbroken players.","An ủi, Bảng điều khiển, Máy chơi game","Assuage, Alleviate, Mollify","Exacerbate, Aggravate, Torment"
consolidate,verb,c2,/kənˈsɒlɪdeɪt/,/kənˈsɑːlɪdeɪt/,"Unite, combine, solidify, make coherent",The company decided to consolidate its smaller offices into one large headquarters to save money.,"Củng cố, Hợp nhất, Tổng hợp","integrate, amalgamate, synthesize","disperse, fragment, dissolve"
constrict,verb,c2,/kənˈstrɪkt/,/kənˈstrɪkt/,"Squeeze, compress; restrict the freedom of",Tight clothing can constrict breathing and cause discomfort.,"Siết chặt, Hạn chế, Gò bó","contract, straiten, constrain","dilate, expand, unfetter"
construe,verb,c2,,,Interpret or translate,His ambiguous statement could be construed in several different ways.,"Diễn giải, Giải thích, Thông dịch","Elucidate, Explicate, Expound","Obfuscate, Distort, Misapprehend"
contentious,adjective,c2,/kənˈtenʃəs/,/kənˈtenʃəs/,"Controversial; prone to causing arguments, especially gratuitous or petty ones",The decision to raise taxes was a contentious issue that divided the community.,"Gây tranh cãi, Đầy tranh cãi, Dễ gây tranh cãi","disputable, polemical, vexatious","consensual, amicable, harmonious"
contextualize,verb,c2,/kənˈtekstʃuəlaɪz/,/kənˈtekstʃuəlaɪz/,"Place in context, such as by giving the background or circumstances","To fully appreciate the painting, one must contextualize it within the artist's broader career.","Ngữ cảnh hóa, Đặt vào ngữ cảnh, Giải thích trong ngữ cảnh","frame, situate, orient","isolate, decontextualize, abstract"
conundrum,noun,c2,/kəˈnʌndrəm/,/kəˈnʌndrəm/,"Riddle, the answer to which involves a play on words; any mystery",The sudden drop in sales presented a serious conundrum for the company's management team.,"Vấn đề nan giải, Câu đố hóc búa, Bí ẩn","enigma, quandary, imbroglio","clarity, resolution, certainty"
converge,verb,c2,/kənˈvɜːdʒ/,/kənˈvɜːrdʒ/,Move towards one another or towards a point; unite,The two roads converge just before the old mill.,"Hội tụ, Quy tụ, Tập trung","coalesce, amalgamate, concur","diverge, disperse, dissipate"
conversant,adjective,c2,/kənˈvɜːsənt/,/kənˈvɜːrsənt/,Knowledgeable about or experienced with,"To be an effective journalist, one must be conversant with current events.","Thành thạo, Am hiểu, Có kinh nghiệm","proficient, adept, versed","uninitiated, inept, unversed"
conversely,adverb,c2,/ˈkɒnvɜːsli/,/ˈkɑːnvɜːrsli/,In an opposite way; on the other hand,"Large companies often merge to increase their market share; conversely, some decide to split into smaller entities for greater agility.","Ngược lại, Mặt khác, Trái lại","by contrast, in contrast, contrariwise","similarly, likewise, correspondingly"
convoluted,adjective,c2,/ˈkɒnvəluːtɪd/,/ˈkɑːnvəluːtɪd/,Twisted; very complicated,The instructions for assembling the bookshelf were so convoluted that I gave up.,"phức tạp, rắc rối, rườm rà","intricate, byzantine, labyrinthine","straightforward, unambiguous, lucid"
copious,adjective,c2,/ˈkəʊpiəs/,/ˈkoʊpiəs/,"Plentiful, bountiful","She took copious notes during the lecture, filling several pages with details.","Dồi dào, Phong phú, Thừa thãi","abundant, profuse, ample","scarce, meagre, sparse"
corroborate,verb,c2,/kəˈrɒbəreɪt/,/kəˈrɑːbəreɪt/,"Support, add evidence to","New evidence emerged to corroborate the witness's testimony, strengthening the prosecution's case.","Xác nhận, Củng cố, Minh chứng","substantiate, authenticate, validate","refute, contradict, invalidate"
cosmopolitan,adjective,c2,/ˌkɒzməˈpɒlɪtən/,/ˌkɑːzməˈpɑːlɪtən/,"Belonging to the entire world, at home globally; free from local or national prejudices or attachments","New York is known for its cosmopolitan atmosphere, attracting people and cultures from all over the world.","Công dân toàn cầu, Quốc tế, Đa văn hóa","urbane, sophisticated, globalist","provincial, parochial, insular"
countenance,noun,c2,/ˈkaʊntənəns/,/ˈkaʊntənəns/,Facial expression or face (noun); approve or tolerate (verb),Her calm countenance gave no hint of the anxiety she felt before the big presentation.,"Khuôn mặt, Nét mặt, Chấp nhận","sanction, condone, visage","prohibit, condemn, repudiate"
counterintuitive,adjective,c2,/ˌkaʊntərɪnˈtjuːɪtɪv/,/ˌkaʊntərɪnˈtuːɪtɪv/,Against what one would intuitively expect,"It seems counterintuitive to add weight to a struggling business, but sometimes a large investment is necessary for growth.","Phản trực giác, Trái với trực giác, Đi ngược lại trực giác","paradoxical, incongruous, anomalous","self-evident, predictable, conventional"
