word,type,cefr,phon_br,phon_n_am,definition,example,vietnamese,synonyms,antonyms
advocate,verb,c1,/ˈædvəkeɪt/,/ˈædvəkeɪt/,to support something publicly,"advocate something, The group does not advocate the use of violence.","Vận động, Ủng hộ, Thúc đẩy","champion, endorse, espouse","condemn, denounce, repudiate"
aesthetic,adjective,c1,/iːsˈθetɪk/,/esˈθetɪk/,connected with beauty and art and the understanding of beautiful things,the aesthetic appeal of the songs,"Mỹ học, Thẩm mỹ, Tính thẩm mỹ","artistic, tasteful, harmonious","grotesque, crude, tasteless"
affection,noun,c1,/əˈfekʃn/,/əˈfekʃn/,the feeling of liking or loving somebody/something very much and caring about them,Children need lots of love and affection.,"Tình cảm, Yêu mến, Thương yêu","fondness, devotion, attachment","aversion, animosity, indifference"
aftermath,noun,c1,/ˈɑːftəmæθ/,/ˈæftərmæθ/,"the situation that exists as a result of an important (and usually unpleasant) event, especially a war, an accident, etc.","in the aftermath of something, A lot of rebuilding took place in the aftermath of the war.","Hậu quả, Hệ lụy, Di chứng","consequence, repercussion, fallout","precursor, catalyst, genesis"
aggression,noun,c1,/əˈɡreʃn/,/əˈɡreʃn/,feelings of anger and hate that may result in threatening or violent behaviour,The research shows that computer games may cause aggression.,"Sự hung hăng, Hành vi hung hăng, Sự gây hấn","hostility, belligerence, antagonism","amity, conciliation, benevolence"
agricultural,adjective,c1,/ˌæɡrɪˈkʌltʃərəl/,/ˌæɡrɪˈkʌltʃərəl/,connected with the science or practice of farming,agricultural policy/land/production/development,"Nông nghiệp, Nông học, Canh tác","agrarian, pastoral, arable","industrial, urban, metropolitan"
aide,noun,c1,/eɪd/,/eɪd/,"a person who helps another person, especially a politician, in their job",White House aides,"Trợ lý, Cố vấn, Thư ký","deputy, adjutant, lieutenant","principal, superior, commander"
albeit,conjunction,c1,/ˌɔːlˈbiːɪt/,/ˌɔːlˈbiːɪt/,although,"He finally agreed, albeit reluctantly, to help us.","Mặc dù, Dù, Tuy","notwithstanding, though, granted","consequently, therefore, hence"
alert,adjective,c1,/əˈlɜːt/,/əˈlɜːrt/,able to think quickly; quick to notice things,Suddenly he found himself awake and fully alert.,"Nhanh trí, Tinh ý, Tỉnh táo","vigilant, perceptive, astute","oblivious, lethargic, unresponsive"
alert,noun,c1,/əˈlɜːt/,/əˈlɜːrt/,a situation in which people are watching for danger and ready to deal with it,"on the alert (for something), Police are warning the public to be on the alert for suspicious packages.","Cảnh báo, Cảnh giác, Báo động","vigilance, readiness, watchfulness","complacency, indifference, negligence"
alert,verb,c1,/əˈlɜːt/,/əˈlɜːrt/,to warn somebody about a dangerous situation or one that requires immediate action,"alert somebody, Neighbours quickly alerted the emergency services.","Cảnh báo, Báo động, Thông báo khẩn cấp","Apprise, Forewarn, Caution","Reassure, Lull, Conceal"
alien,adjective,c1,/ˈeɪliən/,/ˈeɪliən/,strange and frightening; different from what you are used to,an alien environment,"lạ lẫm, kỳ quái, ghê rợn","uncanny, esoteric, incomprehensible","indigenous, conventional, comprehensible"
align,verb,c1,/əˈlaɪn/,/əˈlaɪn/,"to arrange something in the correct position, or to be in the correct position, in relation to something else, especially in a straight line",Make sure the shelf is aligned with the top of the cupboard.,"Căn chỉnh, Sắp xếp thẳng hàng, Đặt thẳng hàng","Orient, Coordinate, Calibrate","Disrupt, Skew, Diverge"
alignment,noun,c1,/əˈlaɪnmənt/,/əˈlaɪnmənt/,arrangement in a straight line,"the alignment of the sun, moon and earth at a particular time","Sự thẳng hàng, Hàng, Sự xếp thẳng hàng","configuration, orientation, disposition","disarray, chaos, asymmetry"
alike,adjective,c1,/əˈlaɪk/,/əˈlaɪk/,very similar,My sister and I do not look alike.,"giống nhau, y hệt, giống y đúc","comparable, analogous, homogeneous","disparate, divergent, heterogeneous"
alike,adverb,c1,/əˈlaɪk/,/əˈlaɪk/,in a very similar way,They tried to treat all their children alike.,"Giống nhau, Tương tự, Như nhau","similarly, correspondingly, analogously","distinctly, disparately, contrarily"
allegation,noun,c1,/ˌæləˈɡeɪʃn/,/ˌæləˈɡeɪʃn/,"a public statement that is made without giving proof, accusing somebody of doing something that is wrong or illegal",to investigate/deny/withdraw an allegation,"Cáo buộc, Buộc tội, Lời cáo buộc","accusation, assertion, imputation","vindication, exoneration, substantiation"
allege,verb,c1,/əˈledʒ/,/əˈledʒ/,to state something as a fact but without giving proof,"allege (that)…, The prosecution alleges (that) she was driving carelessly.","cáo buộc, buộc tội, cho rằng","assert, contend, aver","substantiate, corroborate, refute"
allegedly,adverb,c1,/əˈledʒɪdli/,/əˈledʒɪdli/,expressed as though something is a fact but without giving any proof,crimes allegedly committed during the war,"Được cho là, Bị cáo buộc, Người ta nói","reportedly, purportedly, ostensibly","undeniably, verifiably, conclusively"
alliance,noun,c1,/əˈlaɪəns/,/əˈlaɪəns/,"an agreement between countries, political parties, etc. to work together in order to achieve something that they all want",to form/make an alliance,"Liên minh, Khối, Liên kết","coalition, pact, entente","discord, schism, enmity"
allocate,verb,c1,/ˈæləkeɪt/,/ˈæləkeɪt/,to give something officially to somebody/something for a particular purpose,"allocate something (for something), A large sum has been allocated for buying new books for the library.","Phân bổ, Cấp phát, Chỉ định","assign, apportion, designate","withhold, retain, divert"
allocation,noun,c1,/ˌæləˈkeɪʃn/,/ˌæləˈkeɪʃn/,"an amount of money, space, etc. that is given to somebody for a particular purpose",We have spent our entire allocation for the year.,"Phân bổ, Sự phân bổ, Khoản cấp phát","allotment, apportionment, disbursement","withholding, retention, confiscation"
allowance,noun,c1,/əˈlaʊəns/,/əˈlaʊəns/,an amount of money that is given to somebody regularly or for a particular purpose,an allowance of $20 a day,"Tiền tiêu vặt, Trợ cấp, Phụ cấp","stipend, grant, subsidy","deduction, levy, forfeiture"
ally,noun,c1,/ˈælaɪ/,/ˈælaɪ/,"a country that has agreed to help and support another country, especially in case of a war",our European/NATO allies,"Đồng minh, Đối tác, Nước bạn","partner, confederate, associate","adversary, opponent, antagonist"
aluminium,noun,c1,/ˌæljəˈmɪniəm/,/ˌæljəˈmɪniəm/,"a chemical element. Aluminium is a light, silver-grey metal used for making pans, etc.",aluminium saucepans/window frames,"Nhôm, Chất nhôm, Kim loại nhôm","metal, element, alloy","nonmetal, compound, ceramic"
amateur,adjective,c1,/ˈæmətə(r)/,/ˈæmətər/,"doing something for pleasure or interest, not as a job",an amateur photographer,"Nghiệp dư, Không chuyên, Người làm theo sở thích","Dilettante, Hobbyist, Layperson","Professional, Expert, Specialist"
amateur,noun,c1,/ˈæmətə(r)/,/ˈæmətər/,"a person who takes part in a sport or other activity for pleasure, not as a job",The tournament is open to both amateurs and professionals.,"Nghiệp dư, Không chuyên, Người chơi nghiệp dư","dilettante, tyro, neophyte","professional, expert, virtuoso"
ambassador,noun,c1,/æmˈbæsədə(r)/,/æmˈbæsədər/,an official who lives in a foreign country as the senior representative there of their own country,the British Ambassador to Italy/in Rome,"Đại sứ, Sứ thần, Đại diện ngoại giao","envoy, diplomat, plenipotentiary","expatriate, constituent, national"
amend,verb,c1,/əˈmend/,/əˈmend/,"to change a law, document, statement, etc. slightly in order to correct a mistake or to improve it",He asked to see the amended version.,"sửa đổi, bổ sung, điều chỉnh","rectify, reform, emend","abrogate, repeal, corrupt"
amendment,noun,c1,/əˈmendmənt/,/əˈmendmənt/,a small change or improvement that is made to a document or proposed new law; the process of changing a document or proposed new law,to introduce/propose/table an amendment (= to suggest it),"sửa đổi, bổ sung, chỉnh lý","revision, modification, alteration","preservation, retention, continuity"
amid,preposition,c1,/əˈmɪd/,/əˈmɪd/,"in the middle of or during something, especially something that causes excitement or fear",He finished his speech amid tremendous applause.,"Giữa, Trong bối cảnh, Giữa lúc","amidst, amongst, within","outside, detached, remote"
analogy,noun,c1,/əˈnælədʒi/,/əˈnælədʒi/,a comparison of one thing with another thing that has similar features; a feature that is similar,"analogy (between A and B), The teacher drew an analogy between the human heart and a pump.","Sự tương tự, Sự so sánh tương đồng, Phép loại suy","parallel, correspondence, resemblance","disparity, divergence, dissimilarity"
anchor,noun,c1,/ˈæŋkə(r)/,/ˈæŋkər/,a heavy metal object that is attached to a rope or chain and dropped over the side of a ship or boat to keep it in one place,to drop anchor,"Mỏ neo, Neo, Vật neo","mooring, grapple, kedge","drift, flotation, unmooring"
angel,noun,c1,/ˈeɪndʒl/,/ˈeɪndʒl/,"a spirit who is believed to be a servant of God, and is sent by God to deliver a message or perform a task. Angels are often shown dressed in white, with wings.",a host of angels,"Thiên thần, Thiên sứ, Thần sứ","seraph, cherub, celestial being","demon, fiend, fallen angel"
anonymous,adjective,c1,/əˈnɒnɪməs/,/əˈnɑːnɪməs/,with a name that is not known or that is not made public,an anonymous donor,"Vô danh, Giấu tên, Ẩn danh","incognito, unidentified, undisclosed","identified, recognized, renowned"
apparatus,noun,c1,/ˌæpəˈreɪtəs/,/ˌæpəˈrætəs/,the tools or other pieces of equipment that are needed for a particular activity or task,a piece of laboratory apparatus,"Thiết bị, Dụng cụ, Bộ máy","instrumentation, paraphernalia, mechanism","ideology, conjecture, abstraction"
appealing,adjective,c1,/əˈpiːlɪŋ/,/əˈpiːlɪŋ/,attractive or interesting,Spending the holidays in Britain wasn't a prospect that I found particularly appealing.,"Hấp dẫn, Thu hút, Quyến rũ","captivating, enticing, compelling","repugnant, off-putting, tedious"
appetite,noun,c1,/ˈæpɪtaɪt/,/ˈæpɪtaɪt/,physical desire for food,He suffered from headaches and loss of appetite.,"Thèm ăn, Khẩu vị, Cảm giác thèm ăn","craving, voracity, ravenousness","satiety, repletion, anorexia"
applaud,verb,c1,/əˈplɔːd/,/əˈplɔːd/,to show your approval of somebody/something by clapping your hands (= hitting your open hands together several times),He started to applaud and the others joined in.,"vỗ tay, tán dương, hoan hô","commend, laud, acclaim","censure, denounce, reprimand"
applicable,adjective,c1,/əˈplɪkəbl/,/ˈæplɪkəbl/,that can be said to be true in the case of somebody/something,Give details of children where applicable (= if you have any).,"Phù hợp, Liên quan, Áp dụng được","relevant, pertinent, apposite","irrelevant, inapplicable, extraneous"
appoint,verb,c1,/əˈpɔɪnt/,/əˈpɔɪnt/,to choose somebody for a job or position of responsibility,"appoint somebody, They have appointed a new head teacher at my son's school.","Bổ nhiệm, Chỉ định, Cử","designate, install, nominate","dismiss, terminate, oust"
appreciation,noun,c1,/əˌpriːʃiˈeɪʃn/,/əˌpriːʃiˈeɪʃn/,pleasure that you have when you recognize and enjoy the good qualities of somebody/something,She shows little appreciation of good music.,"sự đánh giá cao, sự trân trọng, sự thưởng thức","esteem, admiration, reverence","disdain, contempt, denigration"
arbitrary,adjective,c1,/ˈɑːbɪtrəri/,/ˈɑːrbɪtreri/,"not seeming to be based on a reason, system or plan and sometimes seeming unfair",The choice of players for the team seemed completely arbitrary.,"Tùy tiện, Độc đoán, Vô căn cứ","capricious, discretionary, subjective","systematic, objective, rational"
architectural,adjective,c1,/ˌɑːkɪˈtektʃərəl/,/ˌɑːrkɪˈtektʃərəl/,relating to architecture and buildings,architectural features,"kiến trúc, thuộc kiến trúc, về kiến trúc","Structural, Edificial, Monumental","Amorphous, Unstructured, Chaotic"
archive,noun,c1,/ˈɑːkaɪv/,/ˈɑːrkaɪv/,"a collection of historical documents or records of a government, a family, a place or an organization; the place where these records are stored",the National Sound Archive,"Văn khố, Kho lưu trữ, Tài liệu lưu trữ","repository, registry, annals","oblivion, annihilation, erasure"
arena,noun,c1,/əˈriːnə/,/əˈriːnə/,a place with a flat open area in the middle and seats around it where people can watch sports and entertainment,a concert at Wembley Arena,"Sân vận động, Đấu trường, Nhà thi đấu","stadium, amphitheater, coliseum","sanctum, hermitage, cloister"
arguably,adverb,c1,/ˈɑːɡjuəbli/,/ˈɑːrɡjuəbli/,used (often before a comparative or superlative adjective) when you are stating an opinion that you believe you could give reasons to support,He is arguably the best actor of his generation.,"Có thể nói là, Có thể coi là, Không ngoa khi nói rằng","plausibly, conceivably, defensibly","indisputably, unquestionably, irrefutably"
arm,verb,c1,/ɑːm/,/ɑːrm/,to provide weapons for yourself/somebody in order to fight a battle or a war,The country was arming against the enemy.,"trang bị vũ khí, vũ trang, cung cấp vũ khí","equip, outfit, munition","disarm, demilitarize, pacify"
array,noun,c1,/əˈreɪ/,/əˈreɪ/,"a group or collection of things or people, often one that is large or impressive",a vast array of bottles of different shapes and sizes,"Dãy, Tập hợp, Hàng loạt","panoply, myriad, plethora","paucity, dearth, modicum"
articulate,verb,c1,/ɑːˈtɪkjuleɪt/,/ɑːrˈtɪkjuleɪt/,to express or explain your thoughts or feelings clearly in words,She struggled to articulate her thoughts.,"Diễn đạt lưu loát, Ăn nói rành mạch, Bày tỏ rõ ràng","elucidate, expound, formulate","obfuscate, equivocate, conceal"
ash,noun,c1,/æʃ/,/æʃ/,"the grey or black powder that is left after something, especially tobacco, wood or coal, has burnt",cigarette ash,"Tro, Tàn, Muội","cinder, embers, residue","substance, essence, genesis"
aspiration,noun,c1,/ˌæspəˈreɪʃn/,/ˌæspəˈreɪʃn/,a strong desire to have or do something,I didn't realize you had political aspirations.,"Hoài bão, Khát vọng, Ước vọng","Ambition, Yearning, Longing","Apathy, Indifference, Complacency"
aspire,verb,c1,/əˈspaɪə(r)/,/əˈspaɪər/,to have a strong desire to achieve or to become something,"aspire (to something), She aspired to a scientific career.","Khát vọng, Hoài bão, Ước mơ","strive, endeavor, hanker","despair, stagnate, resign"
assassination,noun,c1,/əˌsæsɪˈneɪʃn/,/əˌsæsɪˈneɪʃn/,"the murder of an important or famous person, especially for political reasons",The president survived a number of assassination attempts.,"Ám sát, Vụ ám sát, Sự ám sát","liquidation, elimination, regicide","preservation, safeguarding, deliverance"
assault,noun,c1,/əˈsɔːlt/,/əˈsɔːlt/,the crime of attacking somebody physically,Both men were charged with assault.,"Hành hung, Tấn công, Gây thương tích","battery, onslaught, aggression","defense, protection, pacification"
assault,verb,c1,/əˈsɔːlt/,/əˈsɔːlt/,"to attack somebody violently, especially when this is a crime",He has been charged with assaulting a police officer.,"Hành hung, Tấn công, Công kích","battery, onslaught, aggression","conciliation, reconciliation, amity"
assemble,verb,c1,/əˈsembl/,/əˈsembl/,to come together as a group; to bring people or things together as a group,All the students were asked to assemble in the main hall.,"Tập hợp, Tụ tập, Triệu tập","congregate, convene, amass","disperse, disband, dissipate"
assembly,noun,c1,/əˈsembli/,/əˈsembli/,a group of people who have been elected to meet together regularly and make decisions or laws for a particular region or country,state/legislative/federal/local assemblies,"Quốc hội, Nghị viện, Hội đồng","parliament, legislature, congress","autocracy, dictatorship, anarchy"
assert,verb,c1,/əˈsɜːt/,/əˈsɜːrt/,to state clearly and definitely that something is true,"assert that…, She continued to assert that she was innocent.","Khẳng định, Tuyên bố, Xác nhận","aver, contend, affirm","refute, gainsay, recant"
assertion,noun,c1,/əˈsɜːʃn/,/əˈsɜːrʃn/,a statement saying that you strongly believe something to be true,He was correct in his assertion that the minister had been lying.,"khẳng định, tuyên bố, quả quyết","declaration, proclamation, affirmation","denial, refutation, contradiction"
assurance,noun,c1,/əˈʃʊərəns/,/əˈʃʊrəns/,"a statement that something will certainly be true or will certainly happen, particularly when there has been doubt about it",They called for assurances that the government is committed to its education policy.,"Sự đảm bảo, Lời cam đoan, Sự khẳng định","guarantee, pledge, confirmation","reservations, uncertainty, skepticism"
asylum,noun,c1,/əˈsaɪləm/,/əˈsaɪləm/,"protection that a government gives to people who have left their own country, usually because they were in danger for political reasons",to seek/apply for/be granted asylum,"Tị nạn, Sự bảo hộ, Chỗ nương tựa","refuge, sanctuary, haven","persecution, expulsion, vulnerability"
atrocity,noun,c1,/əˈtrɒsəti/,/əˈtrɑːsəti/,"a cruel and violent act, especially in a war","In the war, both sides committed atrocities.","Tội ác, Hành động tàn bạo, Tội ác chiến tranh","barbarity, depravity, inhumanity","benevolence, magnanimity, philanthropy"
attain,verb,c1,/əˈteɪn/,/əˈteɪn/,"to succeed in getting something, usually after a lot of effort",Most of our students attained five ‘A’ grades in their exams.,"Đạt được, Giành được, Thu được","achieve, procure, secure","forfeit, relinquish, renounce"
attendance,noun,c1,/əˈtendəns/,/əˈtendəns/,"the act of being present at a place, for example at school",Attendance at these lectures is not compulsory.,"Sự có mặt, Sự tham dự, Chuyên cần","presence, participation, turnout","absence, non-attendance, non-appearance"
attorney,noun,c1,/əˈtɜːni/,/əˈtɜːrni/,"a lawyer, especially one who can act for somebody in court",The prosecuting attorney began with a short opening statement.,"Luật sư, Người đại diện pháp lý, Cố vấn pháp luật","counsel, barrister, advocate","litigant, defendant, plaintiff"
attribute,noun,c1,/ˈætrɪbjuːt/,/ˈætrɪbjuːt/,a quality or feature of somebody/something,Patience is one of the most important attributes in a teacher.,"Đặc điểm, Thuộc tính, Tính chất","characteristic, trait, property","nonentity, indistinction, homogeneity"
attribute,verb,c1,/əˈtrɪbjuːt/,/əˈtrɪbjuːt/,to say or believe that something is the result of a particular thing,She attributes her success to hard work and a little luck.,"Gán cho, Qui cho, Cho là do","ascribe, impute, assign","disclaim, dissociate, disavow"
audit,noun,c1,/ˈɔːdɪt/,/ˈɔːdɪt/,an official examination of business and financial records to see that they are true and correct,an annual audit,"Kiểm toán, Thanh tra, Kiểm tra","inspection, scrutiny, verification","neglect, disregard, oversight"
authentic,adjective,c1,/ɔːˈθentɪk/,/ɔːˈθentɪk/,known to be real and what somebody claims it is and not a copy,I don't know if the painting is authentic.,"Chính hãng, Nguyên bản, Đích thực","genuine, veritable, bona fide","counterfeit, spurious, fabricated"
authorize,verb,c1,/ˈɔːθəraɪz/,/ˈɔːθəraɪz/,"to give official permission for something, or for somebody to do something","authorize something, I can authorize payments up to £5 000.","ủy quyền, cấp phép, phê duyệt","empower, sanction, endorse","prohibit, veto, invalidate"
auto,noun,c1,/ˈɔːtəʊ/,/ˈɔːtəʊ/,a car,the auto industry,"Ô tô, Xe ô tô, Xe hơi","automobile, motorcar, car","pedestrianism, locomotive, vessel"
